,outs,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
39,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.031724754,0,0,0,0,0.4,0,0,0.004477612,0,0,0,0,0,0,0.090909091,0.002398082,0,0
40,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.025641026,0.088685015,0,0,0,0,0.000922935,0,0,0,0.005865103,0,0,0,0,0,0,0,0,0,0,0,0,0
41,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003007519,0,0,0
42,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060240964,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039076377,0,0,0,0.059760956,0,0,0
43,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.881410256,0,0,0,0,0,0,0,0,0,0,0,0.011090573,0.001788909,0,0,0,0,0
44,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.326315789,0,0,0.002931119,0,0,0,0,0,0,0,0,0,0,0,0,0
45,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.051948052,0,0,0,0,0,0,0.391089109,0,0,0.134408602,0.007832898,0,0
46,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,0,0,0
47,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933823529,0,0,0
48,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.003460208,0,0,0,0,0.000985707,0,0,0,0.003236246,0,0.528455285,0,0,0
49,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.296296296,0,0,0,0,0,0.000993542,0,0.058823529,0,0,0.289855072,0,0,0
50,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.485380117,0,0,0,0,0,0
51,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.035714286,0.014285714,0.037313433,0,0,0.016129032,0.007490637,0,0
52,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0625,0,0,0
53,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.014285714,0.016666667,0,0,0,0.034090909,0,0.06557377,0
54,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.147887324,0,0,0,0,0.125329121,0,0,0
55,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.105263158,0,0.038461538,0,0,0,0,0,0
56,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292682927,0,0.611428571,0,0,0,0,0,0
57,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
58,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
59,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
60,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
61,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0
62,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
63,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
64,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,T,2.07905E-05,6.30166E-05,0.003827265,0,4.76826E-05,0.000142773,5.36107E-05,0,0.003200153,0.003201475,5.19065E-05,0.005115165,3.03591E-05,0.000224187,0,0.000115224,0.000181303,0.020906963,0,0,0.000187348,0.000102606,0.000579425,0.000162078,0,0.003318133,1.93356E-05,0.000426605,0.000255736,0.000106001,0,0.002794634,2.32188E-05,0.000200576,0,0.000102838,3.38995E-05,0,0.00102145,0.290053089,6.09063E-05,0.000625896,0,0,4.18831E-05,0.000626342,4.90034E-05,0.005462153,0.000415763,0.000175994,0,0,9.59297E-05,2.06403E-05,0.00039982
2,T,0.007058535,0.00030286,0.000221969,0.001741232,0.000363747,0.002229386,3.21125E-05,6.25552E-05,0.000698415,0.000410453,0.005146571,1.03854E-05,0.000886064,0.008134725,0.001123755,0.00019741,0.000180016,0.001105979,1.17579E-05,1.48761E-05,0.002978624,0.001007947,0.00084865,0.000215383,0.006486486,2.85825E-05,1.86289E-05,0.001587117,0.001814139,0.001710962,3.54673E-05,0.001811795,0.001155179,0.004765779,0.000948438,7.42148E-05,5.14377E-05,0,0.000685277,7.36865E-05,0.002655887,0.029918978,0,0.000576018,0,0.000335205,4.49721E-05,0.000221989,0.004874353,0.00016276,0.00011735,0.002850356,0,0,6.19361E-05
